4802360000.0000,8.748
4802360000.0002,8.936
4802360000.0004,8.670
4802360000.0006,8.726
4802360000.0008,8.896
4802360000.0010,8.726
4802360000.0012,8.746
4802360000.0014,8.964
4802360000.0016,8.576
4802360000.0018,8.670
4802360000.0020,8.974
4802360000.0022,8.810
4802360000.0024,8.776
4802360000.0026,8.722
4802360000.0028,8.898
4802360000.0030,8.658
4802360000.0032,8.932
4802360000.0034,8.866
4802360000.0036,8.754
4802360000.0038,8.654
4802360000.0040,8.886
4802360000.0042,8.762
4802360000.0044,8.682
4802360000.0046,8.738
4802360000.0048,8.878
4802360000.0050,8.870
4802360000.0052,8.904
4802360000.0054,8.630
4802360000.0056,9.000
4802360000.0058,8.820
4802360000.0060,8.716
4802360000.0062,8.760
4802360000.0064,9.028
4802360000.0066,8.942
4802360000.0068,8.966
4802360000.0070,8.700
4802360000.0072,8.666
4802360000.0074,8.846
4802360000.0076,8.960
4802360000.0078,8.778
4802360000.0080,8.604
4802360000.0082,8.840
4802360000.0084,8.874
4802360000.0086,8.598
4802360000.0088,8.748
4802360000.0090,8.964
4802360000.0092,8.740
4802360000.0094,8.754
4802360000.0096,8.894
4802360000.0098,8.682
4802360000.0100,8.808
4802360000.0102,8.878
4802360000.0104,8.702
4802360000.0106,8.732
4802360000.0108,8.960
4802360000.0110,8.724
4802360000.0112,8.752
4802360000.0114,8.732
4802360000.0116,9.114
4802360000.0118,8.590
4802360000.0120,8.718
4802360000.0122,8.924
4802360000.0124,8.694
4802360000.0126,8.808
4802360000.0128,8.928
4802360000.0130,8.494
4802360000.0132,8.850
4802360000.0134,8.770
4802360000.0136,8.864
4802360000.0138,8.708
4802360000.0140,8.898
4802360000.0142,8.752
4802360000.0144,8.754
4802360000.0146,8.682
4802360000.0148,8.940
4802360000.0150,8.762
4802360000.0152,8.762
4802360000.0154,8.846
4802360000.0156,9.030
4802360000.0158,8.858
4802360000.0160,8.698
4802360000.0162,8.932
4802360000.0164,8.906
4802360000.0166,8.740
4802360000.0168,8.726
4802360000.0170,8.830
4802360000.0172,9.078
4802360000.0174,8.850
4802360000.0176,8.752
4802360000.0178,8.756
4802360000.0180,8.854
4802360000.0182,8.972
4802360000.0184,8.660
4802360000.0186,8.670
4802360000.0188,8.850
4802360000.0190,8.858
4802360000.0192,8.654
4802360000.0194,8.850
4802360000.0196,8.902
4802360000.0198,8.652
4802360000.0200,8.676
