Fri Oct 11 15:32:11 EDT 2013	94	16.181828
Fri Oct 11 15:47:11 EDT 2013	94	16.310104
Fri Oct 11 16:02:11 EDT 2013	94	16.767138
Fri Oct 11 16:17:11 EDT 2013	94	16.181828
Fri Oct 11 16:32:11 EDT 2013	94	16.374624
Fri Oct 11 16:47:11 EDT 2013	94	80.699104
Fri Oct 11 17:02:11 EDT 2013	94	81.98362
Fri Oct 11 17:17:11 EDT 2013	94	76.96505
Fri Oct 11 17:32:11 EDT 2013	94	83.948845
Fri Oct 11 17:47:11 EDT 2013	94	82.633545
Fri Oct 11 18:02:11 EDT 2013	94	83.2886
Fri Oct 11 18:17:11 EDT 2013	94	75.75917
Fri Oct 11 18:32:11 EDT 2013	93	77.57517
Fri Oct 11 18:47:11 EDT 2013	93	80.381134
Fri Oct 11 19:02:11 EDT 2013	93	75.75917
Fri Oct 11 19:17:11 EDT 2013	93	76.96505
Fri Oct 11 19:32:11 EDT 2013	93	85.28508
Fri Oct 11 20:17:11 EDT 2013	92	82.30795
Fri Oct 11 20:32:11 EDT 2013	92	76.96505
Fri Oct 11 20:47:11 EDT 2013	92	78.809975
Fri Oct 11 21:02:11 EDT 2013	92	84.28093
Fri Oct 11 21:17:11 EDT 2013	92	81.01833
Fri Oct 11 21:32:11 EDT 2013	92	79.43472
Fri Oct 11 21:47:11 EDT 2013	92	73.985664
Fri Oct 11 22:02:11 EDT 2013	92	80.381134
Fri Oct 11 22:17:11 EDT 2013	92	70.007286
Fri Oct 11 22:32:11 EDT 2013	91	72.82646
Fri Oct 11 22:47:11 EDT 2013	91	73.11455
Fri Oct 11 23:02:11 EDT 2013	91	76.35973
Fri Oct 11 23:17:11 EDT 2013	91	71.969
Fri Oct 11 23:32:11 EDT 2013	91	75.16334
Fri Oct 11 23:47:11 EDT 2013	91	70.84138
Sat Oct 12 00:02:11 EDT 2013	91	70.84138
Sat Oct 12 00:17:11 EDT 2013	91	9.609497
Sat Oct 12 00:32:11 EDT 2013	91	9.533918
Sat Oct 12 00:47:11 EDT 2013	91	9.458936
Sat Oct 12 01:17:11 EDT 2013	90	9.421665
Sat Oct 12 01:32:11 EDT 2013	90	9.496353
Sat Oct 12 01:47:11 EDT 2013	90	9.458936
Sat Oct 12 02:02:11 EDT 2013	90	9.609497
Sat Oct 12 02:17:11 EDT 2013	90	8.569931
Sat Oct 12 02:32:11 EDT 2013	90	9.458936
Sat Oct 12 02:47:11 EDT 2013	90	8.810073
Sat Oct 12 03:02:11 EDT 2013	90	9.347565
Sat Oct 12 03:32:11 EDT 2013	89	9.496353
Sat Oct 12 03:47:11 EDT 2013	89	9.237505
Sat Oct 12 04:02:11 EDT 2013	89	9.021258
Sat Oct 12 04:17:11 EDT 2013	89	9.685674
Sat Oct 12 04:32:11 EDT 2013	89	8.985712
Sat Oct 12 04:47:11 EDT 2013	89	8.91504
Sat Oct 12 05:02:11 EDT 2013	89	9.201107
Sat Oct 12 05:32:11 EDT 2013	89	8.91504
Sat Oct 12 05:47:11 EDT 2013	88	8.775359
Sat Oct 12 06:02:11 EDT 2013	88	8.569931
Sat Oct 12 06:17:11 EDT 2013	88	9.164852
Sat Oct 12 06:32:11 EDT 2013	88	9.571633
Sat Oct 12 06:47:11 EDT 2013	88	9.458936
Sat Oct 12 07:02:11 EDT 2013	88	9.878769
Sat Oct 12 07:17:11 EDT 2013	88	9.310733
Sat Oct 12 07:32:11 EDT 2013	88	9.021258
Sat Oct 12 07:47:11 EDT 2013	88	9.723989
Sat Oct 12 08:02:11 EDT 2013	88	10.2360935
Sat Oct 12 08:17:11 EDT 2013	88	9.878769
Sat Oct 12 08:32:11 EDT 2013	88	8.879912
Sat Oct 12 09:02:11 EDT 2013	87	17.442347
Sat Oct 12 09:17:11 EDT 2013	87	18.50648
